Obs No,HOME TYPE,CITY,BEDS,BATHS,SQFT,LOT SIZE,RATIO,AGE,YEAR BUILT, LIST PRICE ,DAYS ON MARKET, PRICE/SQFT , ORIGINAL LIST PRICE , LAST SALE PRICE , LAST PRICE/SQFT ,LAST SALE DATE,LATITUDE,LONGITUDE
1,Single Family Residential,Los Angeles,3,1.5,2087,6753,3.24,77,1941,648500,23,310.73,648500,520000.00,249.16,7/31/2013,33.736738,-118.306417
2,Single Family Residential,Westlake Village,4,3,2309,6714,2.91,33,1985,689900,1,298.79,689900,380000.00,164.57,8/16/1989,34.248919,-118.821223
3,Single Family Residential,Westside,3,2,1187,2975,2.51,94,1924,1850000,6,1558.55,1850000,1200000.00,1010.95,4/16/2013,33.995115,-118.458746
4,Single Family Residential,Los Angeles,4,3,2408,5354,2.22,54,1964,423900,84,176.04,446300,600000.00,249.17,12/28/2005,33.799365,-118.267108
5,Townhouse,Los Angeles,3,3,1559,6000,3.85,26,1992,598000,23,383.58,598000,630000.00,404.11,3/10/2006,33.709381,-118.287352
6,Single Family Residential,Los Angeles,3,2.5,2600,5610,2.16,71,1947,1395000,27,536.54,1395000,29000.00,11.15,5/8/1968,33.968163,-118.407873
7,Single Family Residential,Irvine,2,2.5,1200,2196,1.83,20,1998,599888,34,499.91,599888,240000.00,200,10/30/1998,,
8,Single Family Residential,Diamond Bar,4,3,2972,10831,3.64,36,1982,968000,20,325.71,968000,400000.00,134.59,9/9/1991,33.986153,-117.848805
9,Single Family Residential,Los Angeles,3,2.5,2600,5610,2.16,71,1947,1350000,43,519.23,1350000,29000.00,11.15,5/8/1968,33.968163,-118.407873
10,Single Family Residential,Westlake Village,5,4.5,3720,28157,7.57,18,2000,1199900,118,322.55,1199900,800000.00,215.05,6/27/2003,34.298248,-118.677241
11,Single Family Residential,Westside,3,2,1193,5670,4.75,66,1952,1599900,104,1341.07,1699999,63000.00,52.81,6/8/1979,33.99621,-118.471946
12,Single Family Residential,Westlake Village,4,2.5,1725,6825,3.96,54,1964,515000,276,298.55,515000,492000.00,285.22,4/11/2008,34.263712,-118.757932
13,Single Family Residential,Irvine,4,3,2250,6000,2.67,39,1979,888888,14,395.06,,790000.00,351.11,8/15/2014,33.721124,-117.761991
14,Single Family Residential,Redondo Beach,2,1.75,1056,1346,1.27,88,1930,2295000,211,2173.3,2600000,625000.00,591.86,8/15/2001,33.884732,-118.408908
15,Single Family Residential,Diamond Bar,3,2,1272,10107,7.95,54,1964,440000,14,345.91,440000,335000.00,263.36,7/15/2003,34.027112,-117.803172
16,Single Family Residential,Westside,4,3,2292,6153,2.68,67,1951,1599000,16,697.64,1599000,750000.00,327.23,5/4/2010,33.976728,-118.401639
17,Single Family Residential,Redondo Beach,5,5,4700,6760,1.44,12,2006,2999000,105,638.09,2999000,2475000.00,526.6,1/9/2007,33.878243,-118.387063
18,Single Family Residential,Westlake Village,3,2,1661,12409,7.47,55,1963,558000,50,335.94,565000,181000.00,108.97,9/23/1997,34.280286,-118.713529
19,Single Family Residential,Diamond Bar,3,2,1300,8150,6.27,55,1963,590000,99,453.85,610000,260000.00,200,7/27/2001,33.969588,-117.846503
20,Single Family Residential,Redondo Beach,4,3,2240,4639,2.07,49,1969,2399000,2,1070.98,2399000,1450000.00,647.32,5/9/2007,33.899452,-118.402316
21,Single Family Residential,Los Angeles,3,3,1862,5625,3.02,53,1965,515000,176,276.58,540000,655000.00,351.77,11/7/2005,33.802274,-118.29353
22,Single Family Residential,Los Angeles,4,2,1950,6615,3.39,69,1949,699000,40,358.46,739000,94000.00,48.21,3/27/1986,33.863533,-118.299893
23,Single Family Residential,Westside,3,2,1444,7759,5.37,91,1927,2500000,230,1731.3,2500000,875000.00,605.96,11/1/2013,34.020473,-118.474607
24,Single Family Residential,Westlake Village,4,3,2034,7519,3.7,13,2005,615000,83,302.36,615000,787000.00,386.92,12/28/2005,34.302135,-118.754994
25,Single Family Residential,Westside,4,3.25,4233,15431,3.65,53,1965,4150000,21,980.39,4150000,1700000.00,401.61,8/10/1989,34.03947,-118.512612
26,Single Family Residential,Irvine,4,3,2419,3819,1.58,14,2004,1050000,63,434.06,1060000,1050000.00,434.06,10/28/2005,33.698757,-117.761348
27,Single Family Residential,Redondo Beach,3,1.75,1760,5005,2.84,70,1948,1795000,1,1019.89,1795000,1500000.00,852.27,12/4/2014,33.892613,-118.394097
28,Single Family Residential,Westlake Village,4,3,2365,14045,5.94,49,1969,799000,14,337.84,799000,580000.00,245.24,5/29/2015,34.286874,-118.55955
29,Single Family Residential,Diamond Bar,3,3,2033,9412,4.63,53,1965,599900,42,295.08,599900,365000.00,179.54,7/16/2003,34.028048,-117.801865
30,Single Family Residential,Los Angeles,3,2,1667,5735,3.44,49,1969,938000,56,562.69,945000,640000.00,383.92,10/16/2003,33.852628,-118.3777
31,Single Family Residential,Los Angeles,3,2,1616,11647,7.21,68,1950,1575000,14,974.63,1575000,1100000.00,680.69,4/29/2009,34.111145,-118.269028
32,Single Family Residential,Diamond Bar,5,4,2552,10026,3.93,54,1964,798000,180,312.7,899000,330000.00,129.31,8/9/2001,34.015781,-117.812268
33,Single Family Residential,Redondo Beach,4,2.75,1768,7492,4.24,66,1952,1049000,1,593.33,1049000,860000.00,486.43,2/11/2005,33.875926,-118.373702
34,Single Family Residential,Westlake Village,5,3,3195,5527,1.73,13,2005,1068500,55,334.43,1068500,1030000.00,322.38,9/30/2005,34.279091,-118.583089
35,Single Family Residential,Westlake Village,3,2.5,2644,8326,3.15,18,2000,649900,1,245.8,649900,580000.00,219.36,9/15/2009,34.256042,-118.732351
36,Single Family Residential,Irvine,3,2,1300,3920,3.02,39,1979,729000,233,560.77,719000,497000.00,382.31,12/23/2003,33.717261,-117.763589
